,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,minus_log10_padj,significant
ENST00000684259,6.21617014555005,-6.08620702508055,1.69281865545079,-3.59530951852597,0.0003240061262625,0.0308304290912877,POMT2-261,1.5110204308141446,True
ENST00000942375,143.39751926063,-10.6080015955574,1.42507403092631,-7.44382492793176,9.78111071067962e-14,2.02284067586694e-10,XPNPEP1-239,9.6940383220323,True
ENST00000942209,12.9861269820141,-7.14154223723322,1.61388606696241,-4.42505972597851,9.64156043540921e-06,0.0013992843176209,NIPA2-337,2.8540940331647544,True
ENST00000482385,8.72948887460196,6.5694634773437,1.53225925650472,4.2874359867334,1.80747320219656e-05,0.0024411769956074,USP21-205,2.612400731263306,True
ENST00000889512,104.700025195344,-10.1547703045638,1.28408133408914,-7.90819867478806,2.61139828238853e-15,1.08013145393332e-11,EWSR1-259,10.966523386879935,True
ENST00000505086,8.2579993356517,-6.48701934729111,1.39232264214394,-4.65913513932531,3.17540693148512e-06,0.0005286713032005,TMCO6-205,3.276814262887707,True
ENST00000592535,9.68413657956542,6.72357749450383,1.47324645817362,4.5637832402048,5.02399508624245e-06,0.0007869478883076,APOC1-208,3.1040540256711453,True
ENST00000474985,13.0191950634012,7.14174541720528,1.36273827393672,5.24073151374399,1.59941283352779e-07,3.7139768988229e-05,FAM98A-205,4.430160801927672,True
ENST00000918110,26.1772178090867,8.15088537452558,2.02068644186447,4.0337210195783,5.49004936111598e-05,0.0064477146707005,GNAI2-214,2.1905941895159455,True
ENST00000872693,4.32836716663648,5.55395575085076,1.58240295774175,3.50982391917216,0.0004484035259155,0.0412154460323988,UBE2Q2-226,1.3849399958721675,True
ENST00000594658,48.2821830698481,9.03357096577403,1.25760808246561,7.18313685457811,6.81298403719724e-13,7.980174815746801e-10,CRTC1-203,9.097987594779271,True
ENST00000862465,29.3024340383155,-8.31645630494724,1.45251891913413,-5.72554077980948,1.03104774241505e-08,3.58184903250168e-06,CRTC1-209,5.445892722711763,True
ENST00000860598,103.689111331362,-10.1418209806448,1.38573205149408,-7.31874605174211,2.5029874645924e-13,3.80796457271247e-10,ABHD17B-213,9.419307100714835,True
ENST00000643412,3.82771023971567,5.37641792790659,1.54893232131018,3.47104767195954,0.0005184319521192,0.0467114600071793,OSBPL2-217,1.3305765582495293,True
ENST00000939610,45.9414095176274,-8.96618009716816,1.34649501808439,-6.65890328352201,2.7587839402870697e-11,2.12296443925847e-08,SEC24A-206,7.67305728042805,True
ENST00000924367,118.084778657986,-10.3239719913605,2.30636174478414,-4.47630213027434,7.59469894438663e-06,0.0011320121143919,SNRPC-207,2.946148925457463,True
ENST00000944862,46.813826377182,-8.99387377288257,1.48127550964913,-6.07170895238317,1.26556149706065e-09,6.04723661333756e-07,SNX16-221,6.218443038198019,True
ENST00000508417,9.66037163438466,-6.72028363914083,1.67615584097425,-4.00934297089865,6.08879272715693e-05,0.0070384848609062,ANKRD13D-209,2.15252081917701,True
ENST00000507392,185.171306183507,1.24420649780969,0.210454704729343,5.91199184361221,3.3799527988670402e-09,1.3807628781026e-06,DDX46-206,5.859880897506556,True
ENST00000923770,43.8555476483095,-2.13485571361821,0.517372163555171,-4.12634436871971,3.685752297671e-05,0.004584985792927,ELP6-222,2.338662005700169,True
ENST00000289788,11.4659664449038,-4.01648031808382,1.12406673828346,-3.57316890651646,0.0003526871033962,0.033296228472485,ZSCAN23-201,1.4776049570748115,True
ENST00000535612,46.2399255635382,8.97141765510506,1.52905053539014,5.86731271953415,4.42914838038257e-09,1.71917199553976e-06,ARMC6-206,5.764680671900983,True
ENST00000546344,6.538138332825,6.14869173709188,1.60632123683238,3.82780952906838,0.0001292887431064,0.013613785798585,ARMC6-220,1.8660210869343286,True
ENST00000549561,26.7471858808721,-8.18105244283068,1.79288428125411,-4.56306774975354,5.04115380588639e-06,0.0007887022181954,MRPL42-205,3.10308693773532,True
ENST00000944131,14.5106721469816,-21.4263437338185,3.90986393503342,-5.48007401020602,4.25147956785705e-08,1.17299705097214e-05,LIMCH1-335,4.930703079741365,True
ENST00000523504,96.3851797688903,10.032040905483,1.50720903878847,6.65603817871676,2.8130721000386096e-11,2.15222780398272e-08,TNFRSF10B-207,7.667111762384553,True
ENST00000477624,18.4526587296287,3.50352870575692,0.729804313733649,4.80064126756529,1.58158361014693e-06,0.0002867627740485,TMA7-202,3.542477227044096,True
ENST00000929351,27.151388722414,-8.20961509772098,1.77009860118779,-4.63794225486201,3.51895063085431e-06,0.0005764415675114,MMS22L-214,3.239244709520223,True
ENST00000932775,26.2834915693063,8.15889352942854,1.75336111939496,4.65328758530015,3.26684116938857e-06,0.0005391469206223,TBCB-217,3.268292870952609,True
ENST00000930700,336.375130519418,1.38188642877239,0.373654785299986,3.69829715324789,0.0002170507046473,0.0216329926328465,ASCC3-213,1.6648833976191342,True
ENST00000898050,10.0941577669056,-6.77842709331104,1.65476735844168,-4.09630215312827,4.19801939077544e-05,0.0051401077571105,SHLD2-214,2.2890277763689397,True
ENST00000898061,13.1796130337153,7.16033075820376,1.83839196049782,3.89488798474989,9.82441203528694e-05,0.0107112796752763,SHLD2-225,1.9701586409597636,True
ENST00000943984,14.3058960509211,-21.3777741088723,3.90990830993867,-5.46758962468039,4.56196556256916e-08,1.20596956538368e-05,SHLD2-304,4.918663652189822,True
ENST00000929370,102.062662455221,-1.70239825269496,0.295899263518692,-5.75330344675705,8.751618878535011e-09,3.08894806171737e-06,SLC12A2-209,5.51018939396439,True
ENST00000880171,31.7740977017652,8.42975657017709,1.84563062985011,4.56741258724216,4.93781486541952e-06,0.0007752837933239,UBA1-211,3.1105392945079418,True
ENST00000898384,67.8532486237834,9.5244430490077,1.5160249242758,6.28251085882212,3.33147993174516e-10,1.82211302597462e-07,GLUD1-230,6.7394246871683805,True
ENST00000923278,85.8483860236341,2.99738225227366,0.721271927687973,4.15568960500338,3.24307865111303e-05,0.0041115962373818,ASCC2-255,2.385989540045529,True
ENST00000492478,24.5105281415152,-8.05530310319362,1.62429194285092,-4.95927049238154,7.07583874060147e-07,0.0001397837223682,CCNY-208,3.854543398670865,True
ENST00000612750,492.460515101925,-0.956374987675268,0.229120506364463,-4.17411345169585,2.99148664302886e-05,0.0038441765105306,DCAF13-208,2.4151966793308874,True
ENST00000678250,26.0264948029289,2.0001805460249,0.448768310399491,4.45704498217432,8.30971714714353e-06,0.0012234325382411,BRD2-221,2.9124199732491665,True
ENST00000551480,8.69882824804301,6.5696975201122,1.41748045356315,4.63477115581932,3.57332561905006e-06,0.0005839034637183,ATF7-208,3.2336589485040084,True
ENST00000553641,14.9988938367345,7.35094098785312,1.85652240238388,3.95952183416374,7.50999785045528e-05,0.0084741330391168,PRMT5-211,2.0719047221027,True
ENST00000857237,6.10999158978794,6.05200188592284,1.71415373006149,3.53060625764629,0.0004146084434468,0.0384563132208724,TTC38-212,1.4150323536019358,True
ENST00000857239,8.69437528531849,-6.56895726809281,1.5108479769628,-4.34786118011563,1.37471566762722e-05,0.0019173444789406,TTC38-214,2.7172998527646914,True
ENST00000893871,97.2090525347963,10.0449952509025,1.48548239060346,6.76210994788152,1.3599643128805199e-11,1.11803426390405e-08,ST13-217,7.951544886613786,True
ENST00000850624,378.385660043373,12.0034234950128,1.59467730474078,7.52718023848968,5.18477793420601e-14,1.18333703487681e-10,ZNF282-205,9.926891543165365,True
ENST00000925387,12.4242769186645,7.07472168233423,1.61832273206321,4.37163832785974,1.23317681797832e-05,0.0017494324807158,NCAPD2-218,2.757102814437667,True
ENST00000887287,14.9088188557033,-21.4615785765309,3.90977965332941,-5.48920411876796,4.03748831326694e-08,1.17299705097214e-05,RABL2B-222,4.930703079741365,True
ENST00000395874,6.33846695482132,6.11452566834786,1.48333017373056,4.1221609164532,3.75334855817353e-05,0.0046603139006687,ZNF248-205,2.33158482993296,True
ENST00000465413,25.4738472067608,-8.11414419554704,1.59676034597927,-5.08162932275898,3.74211110890344e-07,7.97587897364493e-05,ALCAM-203,4.098221444650883,True
ENST00000912625,137.169973251926,1.57519987867066,0.433503912997594,3.63364627502082,0.0002794439040995,0.0270768050532253,ZNF512B-204,1.5674025818485382,True
ENST00000865423,22.7042537576307,-7.95162632647449,1.84061818835336,-4.32008461982444,1.55969381075344e-05,0.0021432715763584,TBC1D31-218,2.6689227955278696,True
ENST00000310418,8.1190747056396,6.46392619425765,1.58914556925869,4.06754819652738,4.75103841159034e-05,0.0057271647825108,CLTB-201,2.24206032114621,True
ENST00000420751,12.7037430796297,-7.09659900213609,1.46478299785708,-4.8448125166104,1.26731292331376e-06,0.0002362539031223,KMT2A-203,3.626621007832563,True
ENST00000921948,60.3323694346007,1.44760519461382,0.371742917041637,3.89410296269797,9.85627815950188e-05,0.0107371779499054,CYSTM1-211,1.9691098491608414,True
